Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
50B9924C  mov eax,7772DDE2                                                  L"n by zero.
"
50B996E5  mov ecx,1AF7C740                                                  "QP"
50B99803  mov ecx,33E335DD                                                  "UUU"
50B9D0F6  mov eax,dxgi.635275A2                                             "in pixel shader."
50B9D258  mov ecx,ntdll.777D686F                                            "on context data at %p has invalid TOC header offset
"
50B9DAD6  mov eax,2EC136D9                                                  "X"
50B9E447  mov ecx,grooveex.6299003A                                         "yptoAssymetricKeyImpl@UIGrooveAlgorithmParameters@@U1@@@"
50B9F435  mov eax,296D8D7C                                                  "]tQ?"
50B9F706  fimul word ptr ds:[ebx+2A42E9C0]                                  "lqvDi),;]$$"
50B9FBE2  mov ecx,3DB0643C                                                  "UUUU"
50BA0EF5  mov eax,3C1E8D2C                                                  "ooo"
50BA1C44  mov ecx,264231ED                                                  "1B&x"
50BA2ED7  mov ebx,339D009C                                                  "sru_d93"
50BA4A0E  lea eax,dword ptr ds:[eax+1211C68B]                               "le_south_island_l_alpha_3dcuv_atlas_color.dds"
50BA533D  lea eax,dword ptr ds:[eax+531B7E00]                               L"$T0 .raSearch = $eip $T0 ^ = $esp $T0 4 + ="
50BA5446  mov eax,313CBFB8                                                  "UUU?"
50BA5CA2  lea ecx,dword ptr ds:[ecx+3E63F18E]                               "/multiline>"
50BA64C0  lea ecx,dword ptr ds:[ecx+211286FA]                               "FJ}UW_FJ%J"
50BA67CE  mov eax,3F0FC7F4                                                  "000 1.000000 1.000000 1.000000 0.000000"
50BA68C2  mov ecx,3C274CF4                                                  "ooo"
50BA6902  mov ecx,4592F319                                                  "dds"
50BA6AC3  lea eax,dword ptr ds:[eax+77765362]                               L"Encryption.
"
50BA6D51  lea ecx,dword ptr ds:[ecx+11546A54]                               "raziers_Fire_Blueside_03.dds"
50BA7171  mov eax,shell32.76585278                                          "nnn"
50BA74AC  mov ecx,3AF02CB7                                                  "$!"
50BA75FA  mov ecx,3D64AA2C                                                  "UUUU"
50BA7CBD  lea ecx,dword ptr ds:[ecx+110C5620]                               "05\Particles\Riven_Skin05_R_Crest.dds"
50BA7E60  mov eax,29763C36                                                  "YG"
